date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
2012-10-02 09:00:00,0.0,-258.02,0.0,0.0,40.0,1.0,5545.0
2012-10-02 10:00:00,0.0,-256.93999999999994,0.0,0.0,75.0,1.0,4516.0
2012-10-02 11:00:00,0.0,-256.71999999999997,0.0,0.0,90.0,1.0,4767.0
2012-10-02 12:00:00,0.0,-256.16999999999996,0.0,0.0,90.0,1.0,5026.0
2012-10-02 13:00:00,0.0,-255.15999999999997,0.0,0.0,75.0,1.0,4918.0
2012-10-02 14:00:00,0.0,-254.57999999999993,0.0,0.0,1.0,0.0,5181.0
2012-10-02 15:00:00,0.0,-253.12999999999994,0.0,0.0,1.0,0.0,5584.0
2012-10-02 16:00:00,0.0,-252.43999999999994,0.0,0.0,1.0,0.0,6015.0
2012-10-02 17:00:00,0.0,-252.15999999999997,0.0,0.0,20.0,1.0,5791.0
2012-10-02 18:00:00,0.0,-253.19999999999993,0.0,0.0,20.0,1.0,4770.0
2012-10-02 19:00:00,0.0,-255.32999999999993,0.0,0.0,20.0,1.0,3539.0
2012-10-02 20:00:00,0.0,-256.91999999999996,0.0,0.0,1.0,0.0,2784.0
2012-10-02 21:00:00,0.0,-257.68999999999994,0.0,0.0,1.0,0.0,2361.0
2012-10-02 22:00:00,0.0,-259.13999999999993,0.0,0.0,1.0,0.0,1529.0
2012-10-02 23:00:00,0.0,-260.84999999999997,0.0,0.0,1.0,0.0,963.0
2012-10-03 00:00:00,0.0,-261.66999999999996,0.0,0.0,1.0,0.0,506.0
2012-10-03 01:00:00,0.0,-262.8299999999999,0.0,0.0,1.0,0.0,321.0
2012-10-03 02:00:00,0.0,-265.11999999999995,0.0,0.0,1.0,0.0,273.0
2012-10-03 03:00:00,0.0,-265.21,0.0,0.0,1.0,0.0,367.0
2012-10-03 04:00:00,0.0,-266.77,0.0,0.0,1.0,0.0,814.0
2012-10-03 05:00:00,0.0,-267.67999999999995,0.0,0.0,1.0,0.0,2718.0
2012-10-03 06:00:00,0.0,-268.06999999999994,0.0,0.0,1.0,0.0,5673.0
2012-10-03 07:00:00,0.0,-268.12499999999994,0.0,0.0,1.0,0.0,6092.0
2012-10-03 08:00:00,0.0,-268.17999999999995,0.0,0.0,1.0,0.0,6511.0
2012-10-03 09:00:00,0.0,-263.81999999999994,0.0,0.0,1.0,0.0,5471.0
2012-10-03 10:00:00,0.0,-260.6566666666666,0.0,0.0,1.0,0.0,5346.333333333333
2012-10-03 11:00:00,0.0,-257.4933333333333,0.0,0.0,1.0,0.0,5221.666666666667
2012-10-03 12:00:00,0.0,-254.32999999999993,0.0,0.0,1.0,0.0,5097.0
2012-10-03 13:00:00,0.0,-253.06999999999994,0.0,0.0,1.0,0.0,4887.0
2012-10-03 14:00:00,0.0,-251.98999999999995,0.0,0.0,1.0,0.0,5337.0
2012-10-03 15:00:00,0.0,-251.12999999999994,0.0,0.0,1.0,0.0,5692.0
2012-10-03 16:00:00,0.0,-251.16999999999996,0.0,0.0,1.0,0.0,6137.0
